"iso_code","location","continent","total_cases","total_cases_per_million","total_deaths","total_deaths_per_million","population","aged_70_older"
"AFG","Afghanistan","Asia",55733,1431.682,2444,62.782,38928341,1.337
"ALB","Albania","Europe",107931,37504.691,1816,631.038,2877800,8.643
"DZA","Algeria","Africa",113255,2582.721,2987,68.117,43851043,3.857
"AGO","Angola","Africa",20854,634.511,508,15.457,32866268,1.362
"ATG","Antigua and Barbuda","North America",769,7852.708,14,142.962,97928,4.631
"ARG","Argentina","South America",2112023,46730.539,52077,1152.254,45195777,7.441
"ARM","Armenia","Asia",172216,58117.584,3195,1078.214,2963234,7.571
"AUS","Australia","Oceania",28986,1136.711,909,35.647,25499881,10.129
"AUT","Austria","Europe",460849,51169.058,8574,951.99,9006400,13.748
"AZE","Azerbaijan","Asia",234662,23144.092,3223,317.876,10139175,3.871
"BHS","Bahamas","North America",8519,21663.174,179,455.183,393248,5.2
"BHR","Bahrain","Asia",123039,72308.55,452,265.635,1701583,1.387
"BGD","Bangladesh","Asia",546801,3320.196,8416,51.102,164689383,3.262
"BRB","Barbados","North America",3115,10839.646,36,125.274,287371,9.473
"BLR","Belarus","Europe",288267,30506.636,1985,210.068,9449321,9.788
"BEL","Belgium","Europe",772294,66636.72,22106,1907.397,11589616,12.849
"BLZ","Belize","North America",12313,30966.674,315,792.212,397621,2.279
"BEN","Benin","Africa",5434,448.232,70,5.774,12123198,1.942
"BTN","Bhutan","Asia",867,1123.622,1,1.296,771612,2.977
"BOL","Bolivia","South America",249767,21396.931,11666,999.398,11673029,4.393
"BIH","Bosnia and Herzegovina","Europe",130979,39922.702,5071,1545.653,3280815,10.711
"BWA","Botswana","Africa",30727,13066.284,332,141.179,2351625,2.242
"BRA","Brazil","South America",10587001,49807.256,255720,1203.052,212559409,5.06
"BRN","Brunei","Asia",186,425.159,3,6.857,437483,2.382
"BGR","Bulgaria","Europe",249626,35925.448,10308,1483.497,6948445,13.272
"BFA","Burkina Faso","Africa",12030,575.508,143,6.841,20903278,1.358
"BDI","Burundi","Africa",2217,186.447,3,0.252,11890781,1.504
"CMR","Cameroon","Africa",35714,1345.37,551,20.757,26545864,1.919
"CAN","Canada","North America",875388,23193.905,22014,583.273,37742157,10.797
"CPV","Cape Verde","Africa",15432,27755.995,147,264.394,555988,3.437
"CAF","Central African Republic","Africa",5004,1036.075,63,13.044,4829764,2.251
"TCD","Chad","Africa",3986,242.666,140,8.523,16425859,1.446
"CHL","Chile","South America",829770,43406.619,20660,1080.758,19116209,6.938
"CHN","China","Asia",100990,70.165,4836,3.36,1439323774,5.929
"COL","Colombia","South America",2255260,44322.566,59866,1176.545,50882884,4.312
"COM","Comoros","Africa",3578,4114.559,144,165.594,869595,1.726
"COG","Congo","Africa",8820,1598.379,128,23.196,5518092,2.063
"CRI","Costa Rica","North America",205086,40259.405,2812,552.01,5094114,5.694
"CIV","Cote d'Ivoire","Africa",32791,1243.106,193,7.317,26378275,1.582
"HRV","Croatia","Europe",243064,59207.828,5537,1348.755,4105268,13.053
